segment,time,throttle,vane,rpm,roll,pitch,yaw,accelx,accely,accelz,gx,gy,gz,magx,magy,magz,encoderGamma,encoderBeta,
0,168.582993,0.000000,0.000000,nan,-0.031103,1.277209,9.595999,-0.132203,-0.013161,10.014561,0.010741,-0.018157,-0.010409,-107.437859,-20.650955,-68.545265,0.000000,0.000000,
0,168.643997,0.000000,0.000000,nan,-0.029391,1.287088,9.560725,-0.195015,-0.008375,10.037293,-0.000866,0.007194,-0.002620,-107.437859,-20.650955,-68.545265,0.000000,0.000000,
0,168.705002,0.000000,0.000000,nan,-0.017248,1.286935,9.516456,-0.149551,0.002393,10.076176,0.003105,-0.006398,-0.006591,-107.170425,-20.405449,-68.668884,0.000000,0.000000,
0,168.766006,0.000000,0.000000,nan,-0.048718,1.296032,9.475993,-0.183051,-0.016152,10.045070,-0.006669,0.005209,0.014637,-107.170425,-20.405449,-68.668884,0.000000,0.000000,
0,168.826996,0.000000,0.000000,nan,-0.035883,1.300188,9.494144,-0.120239,-0.034696,10.005588,-0.000866,-0.000594,0.014789,-107.170425,-20.405449,-68.668884,0.000000,0.000000,
0,168.888000,0.000000,0.000000,nan,-0.032740,1.262234,9.488945,-0.205783,-0.011964,10.027123,-0.008502,-0.002580,0.016622,-106.896866,-20.067003,-68.624168,0.000000,0.000000,
0,168.949005,0.000000,0.000000,nan,-0.027684,1.255491,9.458411,-0.180658,0.016152,10.037891,-0.012472,-0.002580,0.030214,-106.896866,-20.067003,-68.624168,0.000000,0.000000,
0,169.009995,0.000000,0.000000,nan,-0.042410,1.247706,9.554586,-0.166301,-0.032901,10.019944,0.001120,-0.000747,-0.004606,-106.896866,-20.067003,-68.624168,0.000000,0.000000,
0,169.070999,0.000000,0.000000,nan,-0.013243,1.251997,9.541341,-0.186042,-0.002991,9.987044,0.001120,0.005209,-0.022015,-106.807869,-20.016148,-68.539124,0.000000,0.000000,
0,169.132004,0.000000,0.000000,nan,0.024197,1.242639,9.629980,-0.205185,0.042473,10.061221,-0.004684,0.001238,-0.002620,-106.807869,-20.016148,-68.539124,0.000000,0.000000,
0,169.192993,0.000000,0.000000,nan,-0.019516,1.288349,9.634934,-0.183051,-0.008375,10.042677,0.004937,-0.000594,-0.012394,-106.807869,-20.016148,-68.539124,0.000000,0.000000,
0,169.253998,0.000000,0.000000,nan,-0.028249,1.291578,9.710837,-0.154935,-0.075374,10.034302,-0.008502,-0.000594,-0.049199,-106.807869,-20.016148,-68.539124,0.000000,0.000000,
0,169.315002,0.000000,0.000000,nan,-0.034254,1.270864,9.635248,-0.190828,-0.059821,10.063614,-0.000713,0.009180,0.005016,-107.003395,-20.582563,-68.288353,0.000000,0.000000,
0,169.376007,0.000000,0.000000,nan,-0.055668,1.258783,9.776695,-0.139382,-0.040080,10.035498,-0.006516,-0.002580,-0.014379,-107.003395,-20.582563,-68.288353,0.000000,0.000000,
0,169.436996,0.000000,0.000000,nan,-0.057359,1.216657,9.764418,-0.193220,-0.019741,10.035498,0.001120,-0.008383,-0.006591,-107.003395,-20.582563,-68.288353,0.000000,0.000000,
0,169.498001,0.000000,0.000000,nan,-0.067265,1.213403,9.771312,-0.180060,-0.003589,10.061221,0.001120,-0.000594,0.014637,-107.060394,-19.843416,-68.878448,0.000000,0.000000,
0,169.559006,0.000000,0.000000,nan,-0.048324,1.180135,9.772790,-0.190828,-0.022732,10.040882,0.001120,0.011012,0.020593,-107.060394,-19.843416,-68.878448,0.000000,0.000000,
0,169.619995,0.000000,0.000000,nan,-0.032791,1.182606,9.728943,-0.177069,-0.044267,10.038489,0.008908,-0.010215,0.007001,-107.060394,-19.843416,-68.878448,0.000000,0.000000,
0,169.681000,0.000000,0.000000,nan,-0.082053,1.223526,9.569347,-0.197408,-0.046062,10.030114,-0.000713,-0.004412,0.034032,-106.970963,-20.673313,-68.877136,0.000000,0.000000,
0,169.742004,0.000000,0.000000,nan,-0.059880,1.178636,9.531664,-0.165105,-0.018544,10.068399,-0.008502,0.020786,-0.004606,-106.970963,-20.673313,-68.877136,0.000000,0.000000,
0,169.802994,0.000000,0.000000,nan,-0.101783,1.193623,9.481894,-0.143569,-0.025723,10.028918,-0.000866,0.014830,0.014637,-106.970963,-20.673313,-68.877136,0.000000,0.000000,
0,169.863998,0.000000,0.000000,nan,-0.089982,1.209307,9.522885,-0.232104,-0.004786,10.031310,0.001120,0.003224,0.018455,-106.810936,-20.016148,-68.833717,0.000000,0.000000,
0,169.925003,0.000000,0.000000,nan,-0.143352,1.247235,9.519610,-0.244666,0.001196,10.018748,-0.002698,-0.004412,-0.012394,-106.810936,-20.016148,-68.833717,0.000000,0.000000,
0,169.985992,0.000000,0.000000,nan,-0.157422,1.241053,9.553197,-0.147159,0.002393,10.012767,-0.000713,-0.006398,0.007001,-106.810936,-20.016148,-68.833717,0.000000,0.000000,
0,170.046997,0.000000,0.000000,nan,-0.152006,1.210952,9.580783,-0.171685,0.012562,9.973285,0.006923,-0.014186,-0.020183,-106.810936,-20.016148,-68.833717,0.000000,0.000000,
0,170.108002,0.000000,0.000000,nan,-0.165536,1.244084,9.595433,-0.172881,0.020339,10.052249,0.001120,0.012997,0.016622,-105.920982,-20.155996,-69.161224,0.000000,0.000000,
0,170.169006,0.000000,0.000000,nan,-0.113997,1.222212,9.625155,-0.169292,-0.041874,10.038489,0.024332,0.014830,0.003030,-105.920982,-20.155996,-69.161224,0.000000,0.000000,
0,170.229996,0.000000,0.000000,nan,-0.097677,1.224025,9.622502,-0.209970,-0.066401,10.030114,-0.012320,0.012997,-0.012394,-105.920982,-20.155996,-69.161224,0.000000,0.000000,
0,170.292999,0.000000,0.000000,nan,-0.106148,1.203584,9.542185,-0.211167,-0.017946,10.025329,0.014711,0.003224,0.022425,-106.807869,-20.016148,-68.539124,0.000000,0.000000,
0,170.354004,0.000000,0.000000,nan,-0.109353,1.241999,9.496693,-0.214158,-0.017348,10.001998,-0.016290,0.014830,0.022425,-106.807869,-20.016148,-68.539124,0.000000,0.000000,
0,170.414993,0.000000,0.000000,nan,-0.051919,1.221162,9.543790,-0.157926,-0.004187,10.010972,0.012726,-0.012201,0.020440,-106.807869,-20.016148,-68.539124,0.000000,0.000000,
0,170.475998,0.000000,0.000000,nan,-0.080135,1.237280,9.420066,-0.193819,0.005384,10.086945,0.005090,-0.002580,0.024410,-107.070915,-20.122240,-68.625923,0.000000,0.000000,
0,170.537003,0.000000,0.000000,nan,-0.012297,1.243637,9.421674,-0.164507,-0.017348,10.024731,0.003105,0.014983,-0.014379,-107.070915,-20.122240,-68.625923,0.000000,0.000000,
0,170.598007,0.000000,0.000000,nan,0.015889,1.236646,9.508492,-0.203390,0.004786,10.055240,0.012726,-0.012201,-0.010409,-107.070915,-20.122240,-68.625923,0.000000,0.000000,
0,170.658997,0.000000,0.000000,nan,0.024691,1.207324,9.506671,-0.167498,-0.013161,10.007981,0.006923,-0.004412,0.008833,-106.807434,-20.155558,-67.865723,0.000000,0.000000,
0,170.720001,0.000000,0.000000,nan,-0.010761,1.148052,9.455916,-0.211167,-0.014955,10.026525,-0.014305,0.003224,0.012804,-106.807434,-20.155558,-67.865723,0.000000,0.000000,
0,170.781006,0.000000,0.000000,nan,-0.008926,1.138361,9.502657,-0.223131,-0.028116,10.034302,-0.016290,-0.004565,-0.022015,-106.807434,-20.155558,-67.865723,0.000000,0.000000,
0,170.841995,0.000000,0.000000,nan,-0.064487,1.189193,9.597163,-0.206979,-0.026321,10.048658,-0.004684,0.005209,0.034032,-106.283104,-20.731184,-68.407158,0.000000,0.000000,
0,170.903000,0.000000,0.000000,nan,-0.062244,1.186858,9.510962,-0.186640,-0.048455,10.050453,-0.006669,0.014983,-0.012394,-106.283104,-20.731184,-68.407158,0.000000,0.000000,
0,170.964005,0.000000,0.000000,nan,-0.015098,1.199804,9.452177,-0.184846,-0.029910,10.021142,0.001120,-0.004412,0.036017,-106.283104,-20.731184,-68.407158,0.000000,0.000000,
0,171.024994,0.000000,0.000000,nan,-0.032658,1.227315,9.447174,-0.224925,-0.047258,10.024731,-0.016290,0.007041,0.010819,-106.283104,-20.731184,-68.407158,0.000000,0.000000,
0,171.085999,0.000000,0.000000,nan,-0.031012,1.224382,9.419255,-0.224327,-0.025125,10.062418,-0.010487,-0.004565,0.014789,-106.433037,-19.580374,-67.441353,0.000000,0.000000,
